| time |reset|ARegister|DRegister|PC[]|RAM16K[0]|RAM16K[1]|RAM16K[2]|
| 142  |  0  |      16 |      10 |  16|       0 |       0 |       0 |
| 143  |  0  |       4 |      10 |  17|       0 |       0 |       0 |
| 144  |  0  |       4 |      10 |   4|       0 |       0 |       0 |
| 145  |  0  |      16 |      10 |   5|       0 |       0 |       0 |
| 146  |  0  |      16 |      11 |   6|       0 |       0 |       0 |
| 147  |  0  |      10 |      11 |   7|       0 |       0 |       0 |
| 148  |  0  |      10 |       1 |   8|       0 |       0 |       0 |
| 149  |  0  |      18 |       1 |   9|       0 |       0 |       0 |
| 150  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 151  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 152  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 153  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 154  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 155  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 156  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 157  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 158  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 159  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 160  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 161  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 162  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 163  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 164  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 165  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 166  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 167  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 168  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 169  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 170  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 171  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
| 172  |  0  |      18 |       1 |  18|       0 |       0 |       0 |
| 173  |  0  |      18 |       1 |  19|       0 |       0 |       0 |
